0.6252	0.1561	0.1286	0.0714	0.0186
0.7736	0.1226	0.0554	0.0409	0.0076
0.0179	0.0356	0.1245	0.1809	0.6411
0.0164	0.0598	0.1323	0.1691	0.6225
0.188	0.226	0.2353	0.1847	0.166
0.3668	0.2305	0.1754	0.1158	0.1115
0.6315	0.2267	0.0809	0.0444	0.0165
0.0082	0.0279	0.1042	0.243	0.6167
0.6967	0.1147	0.0856	0.0868	0.0163
0.0629	0.1248	0.2075	0.2138	0.391
0.7215	0.1278	0.1004	0.0455	0.0048
0.0144	0.044	0.1075	0.163	0.6711
0.014	0.046	0.113	0.1819	0.6451
0.3206	0.2751	0.1995	0.1204	0.0843
0.7055	0.1569	0.0812	0.0383	0.0181
0.3375	0.2034	0.2007	0.173	0.0854
0.2522	0.2083	0.173	0.1963	0.1701
0.0097	0.0644	0.0436	0.1584	0.7239
0.3242	0.2324	0.1894	0.1198	0.1341
0.1229	0.1195	0.1547	0.2065	0.3963
0.103	0.1277	0.1537	0.1786	0.437
0.2409	0.2598	0.1658	0.1867	0.1468
0.1206	0.1139	0.1871	0.2547	0.3238
0.1301	0.1278	0.2026	0.1863	0.3533
0.3595	0.2349	0.2117	0.104	0.0899
0.003	0.0268	0.0524	0.0854	0.8324
0.1226	0.1394	0.1994	0.1919	0.3467
0.0977	0.0792	0.2248	0.1408	0.4575
0.7002	0.1407	0.0689	0.0584	0.0319
0.3235	0.2411	0.203	0.1316	0.1008
0.4766	0.1994	0.1416	0.0916	0.0907
0.1957	0.1228	0.2035	0.1443	0.3337
0.255	0.1997	0.2482	0.1498	0.1474
0.122	0.1664	0.2287	0.2432	0.2398
0.1393	0.221	0.1983	0.1341	0.3073
0.3436	0.1911	0.2026	0.1179	0.1447
0.534	0.2015	0.1618	0.0688	0.034
0.0771	0.133	0.1527	0.203	0.4343
0.1172	0.1365	0.1781	0.2934	0.2748
0.2646	0.2803	0.197	0.1499	0.1082
0.2229	0.2771	0.1829	0.138	0.179
0.3114	0.2287	0.1774	0.1647	0.1178
0.0795	0.1062	0.1186	0.1768	0.5189
0.0297	0.0366	0.0504	0.1185	0.7648
0.6828	0.116	0.0803	0.059	0.0619
0.0298	0.0538	0.05	0.1472	0.7192
0.6203	0.1469	0.1198	0.0747	0.0381
0.072	0.0903	0.1548	0.2135	0.4694
0.0311	0.0455	0.0798	0.1185	0.725
0.0059	0.0299	0.1012	0.1124	0.7506
0.7458	0.094	0.0911	0.055	0.0142
0.7205	0.1161	0.0563	0.0802	0.0269
0.0127	0.0327	0.1032	0.1048	0.7467
0.0304	0.0542	0.1093	0.1034	0.7027
0.1388	0.1219	0.2049	0.2827	0.2518
0.0347	0.0685	0.1104	0.0903	0.6961
0.0208	0.0387	0.0638	0.1482	0.7285
0.703	0.099	0.0938	0.0602	0.0441
0.739	0.1055	0.0968	0.0387	0.02
0.6256	0.1288	0.1426	0.0733	0.0296
0.1573	0.1468	0.2575	0.1691	0.2693
0.681	0.16	0.1174	0.0192	0.0224
0.6252	0.1848	0.0778	0.0543	0.0579
0.7123	0.1046	0.0868	0.0782	0.0182
0.7279	0.1253	0.0571	0.0448	0.0449
0.034	0.081	0.1035	0.1109	0.6706
0.1302	0.1761	0.2248	0.1551	0.3138
0.1314	0.178	0.1937	0.2	0.2969
0.1246	0.1881	0.3263	0.225	0.136
0.2049	0.2153	0.2549	0.1848	0.1402
