0.0	0.0057	0.0772	0.2163	0.7009
0.0	0.0178	0.0432	0.2039	0.735
0.6123	0.2297	0.1504	0.0076	0.0
0.7815	0.1475	0.071	0.0	0.0
0.0166	0.0385	0.3636	0.453	0.1283
0.0135	0.0162	0.1037	0.1231	0.7435
0.0	0.0015	0.0382	0.1359	0.8244
0.6851	0.2478	0.0627	0.0045	0.0
0.0	0.0031	0.033	0.2727	0.6912
0.4813	0.3973	0.1135	0.0079	0.0
0.0	0.0028	0.0723	0.1842	0.7407
0.5504	0.2823	0.1489	0.0166	0.0017
0.6326	0.2673	0.0936	0.0065	0.0
0.0	0.0356	0.1	0.374	0.4903
0.0	0.0055	0.0914	0.2935	0.6096
0.3095	0.1688	0.204	0.1612	0.1564
0.1678	0.1495	0.2716	0.1691	0.2421
0.5784	0.1344	0.1477	0.1135	0.026
0.3093	0.2129	0.1715	0.1578	0.1484
0.1031	0.0895	0.166	0.1442	0.4973
0.089	0.084	0.138	0.1619	0.527
0.2352	0.155	0.1886	0.1842	0.2369
0.3526	0.1387	0.1867	0.1445	0.1775
0.7531	0.1298	0.0626	0.0545	0.0
0.444	0.1845	0.1747	0.1466	0.0502
0.5748	0.2232	0.0724	0.0859	0.0437
0.1783	0.2017	0.0861	0.241	0.2929
0.0818	0.0661	0.0952	0.2063	0.5506
0.0275	0.0441	0.0352	0.1522	0.7409
0.344	0.2237	0.154	0.1175	0.1609
0.024	0.0385	0.0775	0.1495	0.7106
0.0437	0.0906	0.0784	0.1908	0.5965
0.5044	0.2241	0.1738	0.0503	0.0475
0.0738	0.1067	0.1899	0.1919	0.4377
0.0713	0.1048	0.0837	0.2645	0.4757
0.4999	0.1803	0.146	0.1034	0.0704
0.0473	0.1072	0.0828	0.2771	0.4855
0.7133	0.1748	0.0462	0.0586	0.0071
0.0697	0.1739	0.1808	0.1398	0.4358
0.5836	0.1204	0.1538	0.0948	0.0474
0.204	0.1416	0.1924	0.195	0.267
0.3811	0.2104	0.1632	0.174	0.0713
0.4756	0.3086	0.1485	0.0599	0.0073
0.7658	0.0865	0.0845	0.032	0.0312
0.0054	0.0603	0.0463	0.0811	0.8069
0.7229	0.1129	0.0687	0.0379	0.0577
0.0318	0.0154	0.0584	0.0991	0.7953
0.5168	0.2676	0.1701	0.0244	0.0211
0.7603	0.0962	0.0551	0.0586	0.0298
0.595	0.1387	0.1478	0.0963	0.0222
0.0188	0.0723	0.0286	0.0947	0.7856
0.0142	0.0483	0.1088	0.0986	0.7301
0.773	0.0662	0.0634	0.0465	0.0509
0.626	0.1632	0.1043	0.0774	0.0292
0.6154	0.1306	0.1633	0.0585	0.0321
0.773	0.1485	0.0536	0.0082	0.0167
0.5338	0.2051	0.0913	0.088	0.0817
0.0272	0.0375	0.1102	0.1257	0.6995
0.0225	0.0252	0.0305	0.1023	0.8196
0.0137	0.0402	0.0291	0.0949	0.8222
0.0736	0.1691	0.1123	0.1167	0.5283
0.0	0.0083	0.0962	0.1468	0.7487
0.0037	0.0349	0.0475	0.0951	0.8188
0.0357	0.0347	0.108	0.0693	0.7522
0.0112	0.0751	0.0849	0.0804	0.7484
0.7624	0.0769	0.0883	0.0486	0.0239
0.1762	0.1941	0.2347	0.2458	0.1491
0.1001	0.0966	0.0837	0.1339	0.5857
0.0131	0.1833	0.5339	0.2435	0.0262
0.0655	0.4965	0.3921	0.0434	0.0025
